Game Id	Game Name	Category	Provider Name
100001	Blackjack Gold 5	Live Blackjack	EZUGI
100005	Blackjack Gold 3	Live Blackjack	EZUGI
100006	Blackjack Gold 1	Live Blackjack	EZUGI
100009	VIP Blackjack with Surrender	Live Blackjack	EZUGI
100010	VIP Blackjack	Live Blackjack	EZUGI
100013	Rumba Blackjack 2	Live Blackjack	EZUGI
100022	Unlimited Blackjack	Live Blackjack	EZUGI
100024	Mambo Unlimited Blackjack	Live Blackjack	EZUGI
100026	Italian Roulette	Live Roulette	EZUGI
100027	Speed Roulette	Live Roulette	EZUGI
100028	Diamond Roulette	Live Roulette	EZUGI
100029	Namaste Roulette	Live Roulette	EZUGI
100030	Cumbia Ruleta 1	Live Roulette	EZUGI
100031	Türkçe Rulet	Live Roulette	EZUGI
100032	Ruletka Russia	Live Roulette	EZUGI
100034	Automatic Roulette	Live Roulette	EZUGI
100035	Speed Auto Roulette	Live Roulette	EZUGI
100036	Prestige Auto Roulette	Live Roulette	EZUGI
100037	Portomaso Casino Roulette	Live Roulette	EZUGI
100038	Oracle Casino Roulette	Live Roulette	EZUGI
100039	Oracle Casino Roulette 360	Live Roulette	EZUGI
100042	Marina Casino Roulette	Live Roulette	EZUGI
100043	Marina Casino Roulette2	Live Roulette	EZUGI
100044	Ruleta del Sol	Live Roulette	EZUGI
100045	Casino Hold'em	Live Poker	EZUGI
100046	Teen Patti	Live Popular	EZUGI
100047	Bet on Teen Patti	Live Popular	EZUGI
100048	One Day Teen Patti Classic	Live Popular	EZUGI
100049	Baccarat	Live Baccarat	EZUGI
100054	Marina Casino Baccarat 1	Live Baccarat	EZUGI
100055	Marina Casino Baccarat 2	Live Baccarat	EZUGI
100056	Marina Casino Baccarat 3	Live Baccarat	EZUGI
100057	Marina Casino Baccarat 4	Live Baccarat	EZUGI
100058	Baccarat Knockout	Live Baccarat	EZUGI
100059	Baccarat Super Six	Live Baccarat	EZUGI
100061	Dragon Tiger	Live Baccarat	EZUGI
100062	Cricket War	Live Baccarat	EZUGI
100063	Andar Bahar	Live Popular	EZUGI
100064	OTT Andar Bahar	Live Popular	EZUGI
100066	Lucky 7	Live Popular	EZUGI
100068	Sic Bo	Live Popular	EZUGI
100069	Fortune Baccarat	baccarat	EZUGI
100070	Speed Fortune Baccarat	baccarat	EZUGI
100073	Salon Prive Blackjack	blackjack	EZUGI
100074	Ultimate Sic Bo	sicbo	EZUGI
100075	Ultimate Andar Bahar	andar_bahar	EZUGI
100076	EZ Roulette	roulette	EZUGI
100077	EZ Dealer Roulette Thai	roulette	EZUGI
100078	EZ Dealer Roulette Japanese	roulette	EZUGI
100079	EZ Dealer Roulette Mandarin	roulette	EZUGI
100082	Ultimate Roulette	roulette	EZUGI
100083	Blackjack da Sorte	Live Blackjack	EZUGI
100089	Roleta da sorte	Live Roulette	EZUGI
100091	VIP Roulette	Live Roulette	EZUGI
100092	EZ Dealer Roleta Brazileira	Live Roulette	EZUGI
100093	Baccarat E	Live Baccarat	EZUGI
100094	No Commission Baccarat A	Live Baccarat	EZUGI
100095	No Commission Baccarat B	Live Baccarat	EZUGI
100098	Dragon Tiger da Sorte	Live Baccarat	EZUGI
100099	Cricket Auto Roulette	Live Roulette	EZUGI
100100	Football Auto Roulette	Live Roulette	EZUGI
100102	Rumba Blackjack 3	Live Blackjack	EZUGI
100105	Rumba Blackjack 4	Live Blackjack	EZUGI
100106	Rumba Blackjack 1	Live Blackjack	EZUGI
100107	Skyline Roulette	Live Roulette	EZUGI
100108	Baccarat Over Under	Live Baccarat	EZUGI
100109	No Commission Baccarat Over Under	Live Baccarat	EZUGI
100110	EZ Baccarat	Live Baccarat	EZUGI
100111	Matka	Live Blackjack	EZUGI
100112	Xoc Dia	Live Blackjack	EZUGI
100113	EZ Dealer Roulette Hindi	Live Roulette	EZUGI
100115	EZ Bingo 90	Slot Games	EZUGI
100116	EZ Bingo 90 Brasileira	Slot Games	EZUGI
100117	Horse Racing Auto Roulette	Live Roulette	EZUGI
100118	EZ Dealer Roulette Turkish	Live Roulette	EZUGI
100119	EZ Dealer Roulette Nederlands	Live Roulette	EZUGI
100120	EZ Dealer Roulette Latina	Live Roulette	EZUGI
100121	EZ Dealer Roulette Savanna	Live Roulette	EZUGI
100122	Ultimate Auto Roulette	Live Roulette	EZUGI
100123	Revolution Roulette	Live Roulette	EZUGI
100124	Auto Claw Roulette	Live Roulette	EZUGI
100125	Magic Claw	Arcade Games	EZUGI
100126	Fortune Pusher Standard	Arcade Games	EZUGI
100127	Cricket Ball Roulette	Live Roulette	EZUGI
100130	EZ Marble Race Monaco	Casual Games	EZUGI
150000	Mac88 Gaming Lobby	Lobby	MAC88
150001	Dragon Tiger	Live	MAC88
150002	Bacarrat	Live	MAC88
150003	Sic Bo	Live	MAC88
150004	Roulette	Live	MAC88
150005	Poker 20-20	Live	MAC88
150006	Lucky7	Live	MAC88
150007	Andar Bahar	Live	MAC88
150009	Teenpatti One Day	Live	MAC88
150010	32 Cards	Live	MAC88
150013	DTL	Live	MAC88
150014	Amar Akbar Anthony	Live	MAC88
150015	3 Cards Judgement	Live	MAC88
150016	Queen Race	Live	MAC88
150017	Race 20	Live	MAC88
150018	Casino War	Live	MAC88
150019	Worli Matka	Live	MAC88
150020	Lottery	Live	MAC88
150023	Test Teenpatti	Live	MAC88
150025	Trio	Live	MAC88
